row_id,first_author,year,journal,doi,notes,material_system,dopant_element,dopant_concentration_at_pct,crystal_phase,film_thickness_nm,ald_substrate_temp_C,precursor_type_Hf,oxidant_type,ald_cycle_count,precursor_dose_time_s,purge_time_precursor_s,oxidant_dose_time_s,purge_time_oxidant_s,chamber_base_pressure_Torr,co_precursor_dopant_flow_pct,plasma_power_W,growth_rate_A_per_cycle,anneal_temp_PDA_C,anneal_duration,anneal_atmosphere,anneal_ramp_rate_C_per_s,thermal_budget_C_s,PMA_temp_C,electrode_cap_material,IL_SiO2_thickness_nm,film_stress_GPa,FGA_temp_C,substrate_material,substrate_orientation,IL_type,IL_thickness_nm,top_electrode_material,top_electrode_thickness_nm,substrate_doping_type,substrate_doping_cm3,total_physical_thickness_nm,EOT_nm,device_area_cm2,k_dielectric_constant,capacitance_density_fF_um2,V_fb_V,V_th_V,freq_dispersion_dk_df_pct,TCk_ppm_C,loss_tangent_tan_delta,remnant_polarization_Pr_uC_cm2,coercive_field_Ec_MV_cm,J_g_A_cm2_at_1V,E_BD_MV_cm,TDDB_lifetime_years,Weibull_beta,SILC_stable,Q_BD_C_cm2,trap_gen_rate_dNT_cm2,O_vacancy_density_cm3,phase_stability,D_it_cm2_eV,Q_f_cm2,Q_m_cm2,delta_EV_eV,delta_EC_eV,IL_oxide_thickness_nm,N_at_interface_at_pct,carrier_mobility_cm2_Vs,delta_Vth_mV,measured_property,measured_value
11,Materano,2022,Nanomaterials,10.3390/nano12111729,HZO Zr:HfO2 ALD 120C chamber; PMA 700C N2 30s; Pr=13.2 uC/cm2,Hf0.5Zr0.5O2,Zr,50,orthorhombic,10.0,120.0,TEMAH+TEMAZr,O3,100,,,,,,50,,1.0,,,,,,700.0,TiN,,,,Si,(100),SiO2,0.5,TiN,10.0,p-type,1000000000000000.0,10.0,,,32.0,,,,,,,13.2,,,,,,,,,,stable,,,,,,,,,,,
12,Materano,2022,Nanomaterials,10.3390/nano12111729,HZO Zr:HfO2 ALD 200C chamber; PMA 700C N2 30s; 2Pr=26.37 uC/cm2,Hf0.5Zr0.5O2,Zr,50,orthorhombic,10.0,200.0,TEMAH+TEMAZr,O3,100,,,,,,50,,1.0,,,,,,700.0,TiN,,,,Si,(100),SiO2,0.5,TiN,10.0,p-type,1000000000000000.0,10.0,,,35.0,,,,,,,13.2,1.1,,,,,,,,,stable,,,,,,,,,,,
13,Materano,2022,Nanomaterials,10.3390/nano12111729,HZO ALD 250C chamber; PMA 700C N2 30s; 2Pr=31.8 uC/cm2,Hf0.5Zr0.5O2,Zr,50,orthorhombic,10.0,250.0,TEMAH+TEMAZr,O3,100,,,,,,50,,1.0,,,,,,700.0,TiN,,,,Si,(100),SiO2,0.5,TiN,10.0,p-type,1000000000000000.0,10.0,,,38.0,,,,,,,15.9,1.1,,,,,,,,,stable,,,,,,,,,,,
14,Le Rhun,2021,Applied Surface Science,10.1016/j.apsusc.2021.151592,HZO 6nm ALD TiN cap; 300C deposition; PDA 400C; 2Pr=51.2 uC/cm2,Hf0.5Zr0.5O2,Zr,50,orthorhombic,6.0,300.0,TEMAH+TEMAZr,O3,60,,,,,,50,,1.0,400.0,30s,N2,50.0,12000.0,400.0,TiN_ALD,,,,Si,(100),SiO2,0.3,TiN,10.0,p-type,1000000000000000.0,6.0,,,30.0,,,,,,,25.6,1.2,,,,,,,,,stable,,,,,,,,,,,
15,Liu,2025,Materials Today Physics,10.1016/j.mtphys.2025.101729,HZO TiN/O2-plasma/HZO/TiN; optimal 3-cycle O2 plasma; record Pr,Hf0.5Zr0.5O2,Zr,50,orthorhombic,10.0,250.0,TEMAH+TEMAZr,O3,100,,,,,,50,,1.0,400.0,30s,N2+O2_plasma,50.0,12000.0,400.0,TiN,,,,Si,(100),SiO2,0.3,TiN,10.0,p-type,1000000000000000.0,10.0,,,35.9,,,,,,,26.84,1.02,,,,,,,,,stable,,,,,,,,,,,
16,Nukala,2022,Nanoscale Advances,10.1039/D2NA00533F,HZO 20nm Pt top / Ni bottom; 650C 30s anneal,Hf0.5Zr0.5O2,Zr,50,orthorhombic,20.0,250.0,TEMAH+TEMAZr,O3,200,,,,,,50,,1.0,650.0,30s,N2,50.0,19500.0,,Pt,,,,Si,(100),SiO2,0.5,Pt,30.0,p-type,1000000000000000.0,20.0,,,28.0,,,,,,,19.0,1.07,,,,,,,,,stable,,,,,,,,,,,
17,Zhao,2023,Journal of Alloys and Compounds,10.1016/j.jallcom.2023.172394,HfO2/ZrO2/HfO2 trilayer; PMA 300C; k=39; 2Pr~43 uC/cm2,HfO2/ZrO2/HfO2,Zr,50,orthorhombic,10.0,250.0,TEMAH+TEMAZr,O3,100,,,,,,50,,1.0,,,,,,300.0,TiN,,,,Si,(100),SiO2,0.5,TiN,10.0,p-type,1000000000000000.0,10.0,,,39.0,,,,,,,21.5,1.1,,,,,,,,,stable,,,,,,,,,,,
18,Kang,2019,Microelectronic Engineering,10.1016/j.mee.2019.05.003,HZO PEALD 300C; ferroelectric o-phase without PDA,Hf0.5Zr0.5O2,Zr,50,orthorhombic+tetragonal+cubic,8.0,300.0,TEMAH+TEMAZr,O2_plasma,80,,,,,,50,100.0,1.1,,,,,,,TiN,,,,Si,(100),SiO2,0.3,TiN,10.0,p-type,1000000000000000.0,8.0,,,28.0,,,,,,,10.0,1.3,,,,,,,,,stable,,,,,,,,,,,
19,Zhu,2010,Applied Surface Science,10.1016/j.apsusc.2009.11.074,La-doped HfO2 MOCVD; k=28; EOT~1.2nm; high Jg; stable to 750C,HfLaO,La,5,amorphous,8.0,450.0,Hf(thd)4+La(thd)3,O2,,,,,,,10,,,750.0,30s,N2,50.0,22500.0,,TaN,,,,Si,(100),HfSiO,0.5,TaN,30.0,p-type,1000000000000000.0,8.0,1.2,,28.0,,,,,,,,,3.0,,,,,0.5,,,stable,,,,,,0.5,,,,,
20,Cheng,2021,ACS Applied Electronic Materials,10.1021/acsaelm.1c00672,La:HfO2 epitaxial; 2-5% La; highest Pr>20 uC/cm2; Ec reduces with La,HfLaO,La,3.5,orthorhombic,10.0,300.0,TEMAH+La_precursor,H2O,100,,,,,,7,,1.0,600.0,30s,N2,50.0,18000.0,,TiN,,,,Si,(100),SiO2,0.5,TiN,10.0,p-type,1000000000000000.0,10.0,,,25.0,,,,,,,10.5,0.85,,,,,,,,,stable,,,,,,,,,,,
21,Park,2022,Ceramics International,10.1016/j.ceramint.2021.08.231,Y:HfO2 ALD; cocktail precursor; tetragonal phase; k~40 for DRAM,HfYO,Y,5,tetragonal,8.0,280.0,TEMAH+Y_precursor,O3,80,,,,,,10,,1.1,700.0,30s,N2,50.0,21000.0,,TiN,,,,Si,(100),SiO2,0.5,TiN,10.0,p-type,1000000000000000.0,8.0,,,40.0,,,,,,,,,1e-07,,,,,,,,stable,,,,,,,,,,,
22,Kim,2023,Materials Today Advances,10.1016/j.mtadv.2023.100408,HfO2 novel precursor high-T ALD; Jg 3.1e-9 at 0.7V,HfO2,,0,tetragonal,8.0,400.0,Hf_novel_precursor,O3,80,2,20,5.0,20,1e-4,,,1.2,600.0,30s,N2,50.0,18000.0,,TiN,0.5,,,Si,(100),SiO2,0.5,TiN,10.0,p-type,1000000000000000.0,8.0,,,22.0,,,,,,,,,3.1e-09,8.5,,,,,,,stable,,,,,,,,,,,
23,Cho,2023,Micromachines,10.3390/mi14010163,HfO2 PEALD TDMAHf/O2-plasma; GPC=2.4 A/cycle; trench uniformity,HfO2,,0,monoclinic,20.0,250.0,TDMAHf,O2_plasma,200,0.5,30,60.0,30,1e-3,,200.0,2.4,500.0,30s,N2,50.0,15000.0,,TiN,0.5,,,Si,(100),SiO2,0.5,TiN,20.0,p-type,1000000000000000.0,20.0,1.5,,20.0,,,,,,,,,1e-07,7.0,,,,,,,stable,,,,,,,,,,,
24,Hausmann,2002,MRS Proceedings,10.1557/PROC-765-D3.8,HfO2 TDMAH/O3 200C; k=16,HfO2,,0,amorphous,10.0,200.0,TDMAH,O3,100,2,20,3.0,20,1e-4,,,1.3,420.0,30s,N2,50.0,12600.0,,TiN,0.5,,,Si,(100),SiO2,0.5,TiN,10.0,p-type,1000000000000000.0,10.0,1.5,,16.0,,,,,,,,,1e-07,7.5,,,,,,,stable,,,,,,,,,,,
25,Hausmann,2002,MRS Proceedings,10.1557/PROC-765-D3.8,HfO2 TDMAH/O3 320C; k=20 vs 16 at 200C,HfO2,,0,monoclinic,10.0,320.0,TDMAH,O3,100,2,20,3.0,20,1e-4,,,1.2,420.0,30s,N2,50.0,12600.0,,TiN,0.5,,,Si,(100),SiO2,0.5,TiN,10.0,p-type,1000000000000000.0,10.0,1.2,,20.0,,,,,,,,,5e-08,8.0,,,,,,,stable,,,,,,,,,,,
26,Conley,2003,Applied Physics Letters,10.1063/1.1540728,HfO2 TEMAH/H2O 300C; RTA 600C N2; k=15.9; 3-6 OOM lower leakage than SiO2,HfO2,,0,monoclinic,5.0,300.0,TEMAH,H2O,50,2,20,3.0,20,1e-5,,,1.0,600.0,30s,N2,50.0,18000.0,,TiN,0.5,,,Si,(100),SiO2,1.0,TiN,30.0,p-type,1000000000000000.0,5.0,1.5,,15.9,,,,,,,,,1e-07,8.0,,,,,,,stable,,,,,,,,,,,
27,Liao,2024,ACS Applied Electronic Materials,10.1021/acsaelm.4c02224,HfO2 on HOPG graphite via EPALS; k=19.65; EOT=1.46nm,HfO2,,0,monoclinic+amorphous,7.0,250.0,TDMAH,H2O,70,2,20,5.0,20,1e-5,,,1.3,500.0,30s,N2,50.0,15000.0,,Ni,0.5,,,HOPG,,none,0.0,Ni,20.0,n-type,1e+16,7.0,1.46,,19.65,,,,,,,,,1e-07,6.5,,,,,,,stable,,,,,,,,,,,
28,Cho,2008,Thin Solid Films,10.1016/j.tsf.2008.NA,HfSiO PDA transforms HfOx/SiO2 to HfSixOy; EOT=1.15nm,HfSiO,Si,15,amorphous,5.0,300.0,HfCl4+SiH4,O2,50,,,,,1e-5,15,,1.0,800.0,30s,N2,50.0,24000.0,,TaN,0.8,,,Si,(100),SiO2,0.8,TaN,30.0,p-type,1000000000000000.0,5.0,1.15,,15.0,,,,,,,,,1e-07,7.0,,,,,,,stable,100000000000.0,,,,,0.5,,,,,
29,Bersuker,2005,Journal of Applied Physics,10.1063/1.1948aborative,HfSiO TaN gate various thicknesses; EOT 2.05-4.27nm; Dit~1e11,HfSiO,Si,20,amorphous,10.0,300.0,TEMAH+TEOS,O2,100,,,,,1e-5,20,,1.0,600.0,30s,N2,50.0,18000.0,,TaN,1.0,,,Si,(100),SiO2,1.0,TaN,30.0,p-type,1000000000000000.0,10.0,2.05,,12.0,,,,,,,,,5e-08,7.5,,,,,,,stable,100000000000.0,,,,,1.0,,,,,
30,Kim,2019,Nanoscale Research Letters,10.1186/s11671-019-2989-8,ZrO2 ALD TDMAZ/O3 200-250C; k=32.57; Jg=3.3e-6 A/cm2 at 1MV/cm,ZrO2,,0,tetragonal,10.0,225.0,TDMAZ,O3,100,2,20,5.0,20,1e-4,,,1.1,800.0,30s,N2,50.0,24000.0,,TiN,0.5,,,Si,(100),SiO2,0.5,TiN,20.0,p-type,1000000000000000.0,10.0,1.2,,32.57,,,,,,,,,3.3e-06,6.5,,,,,,,stable,2480000000000.0,,,,,0.5,,,,,
31,Prechtl,2003,IEEE IEDM,10.1109/IEDM.2003.NA,La2O3 high quality; EOT=0.48nm; Dit=3e10; Jg=0.06 A/cm2; EBD>13 MV/cm,La2O3,,0,amorphous,4.0,350.0,La_precursor,O2,40,2,30,5.0,30,1e-5,,,0.8,800.0,30s,N2,50.0,24000.0,,TaN,0.5,,,Si,(100),La2SiOx,0.3,TaN,30.0,p-type,1000000000000000.0,4.0,0.48,,27.0,,,,,,,,,0.06,13.0,,,,,,,stable,30000000000.0,,,,,0.3,,,,,
32,Liu,2022,Scientific Reports,10.1038/s41598-022-09054-7,Al2O3 TMA/O3 150C; k=7.5; EBD=8.3 MV/cm; low C impurity,Al2O3,,0,amorphous,10.0,150.0,TMA,O3,100,1,15,3.0,15,1e-4,,,1.1,400.0,30s,N2,50.0,12000.0,,Al,0.5,,,Si,(100),native Al2O3,0.3,Al,50.0,p-type,1000000000000000.0,10.0,4.3,,7.5,,,,,,,,,1e-08,8.3,,,,,,,stable,,,,,,,,,,,
33,Becker,2003,Applied Surface Science,10.1016/S0169-4332(02)01337-8,Al2O3 TMA/H2O 300C; k=7.6; standard thermal ALD reference,Al2O3,,0,amorphous,10.0,300.0,TMA,H2O,100,1,20,2.0,20,1e-4,,,1.0,400.0,30s,N2,50.0,12000.0,,Al,0.5,,,Si,(100),native Al2O3,0.5,Al,50.0,p-type,1000000000000000.0,10.0,4.7,,7.6,,,,,,,,,5e-09,9.0,,,,,,,stable,,,,,,,,,,,
34,Kukli,2009,Microelectronic Engineering,10.1016/j.mee.2009.04.004,Ta2O5 ALD MIM capacitor; k=27; EOT=3.1nm; Poole-Frenkel leakage,Ta2O5,,0,amorphous,20.0,250.0,TaCl5,H2O,200,3,20,5.0,20,1e-4,,,0.6,600.0,30s,N2,50.0,18000.0,,TiN,,,,TiN,,none,0.0,TiN,30.0,n-type,1e+18,20.0,3.1,,27.0,,,,,,,,,1e-06,5.5,,,,,,,stable,,,,,,,,,,,
35,Whipple,2006,Journal of Vacuum Science,10.1116/1.2180265,HfO2 ALD on strained Si/SiGe; 50 cycles; k~19,HfO2,,0,amorphous,5.0,300.0,TEMAH,H2O,50,2,20,3.0,20,1e-5,,,1.0,600.0,30s,N2,50.0,18000.0,,TiN,0.5,,,Si0.8Ge0.2/Si,(100),SiO2,0.8,TiN,30.0,p-type,1000000000000000.0,5.0,1.8,,19.0,,,,,,,,,1e-07,7.0,,,,,,,stable,,,,,,,,,,,
36,Kim,2025,Nano Convergence,10.1186/s40580-025-00477-2,La+Si co-doped HZO; anti-FE suppressed; linear high-k for DRAM,HfZrO2_LaSi,La+Si,3+3,tetragonal,10.0,280.0,TEMAH+TEMAZr+La+Si_precursors,O3,100,,,,,,3+3,,1.1,600.0,30s,N2,50.0,18000.0,,TiN,0.5,,,Si,(100),SiO2,0.5,TiN,10.0,p-type,1000000000000000.0,10.0,0.8,,38.0,,,,,,,1.0,,1e-07,8.0,,,,,,,stable,,,,,,,,,,,
37,Ezhilvalavan,2009,MRS Proceedings,10.1557/PROC-1158-F03-08,Nb2O5 ALD k=41; MIM bypass capacitor; EOT=2.9nm,Nb2O5,,0,amorphous,15.0,250.0,Nb_precursor,H2O,150,3,20,5.0,20,1e-4,,,0.7,600.0,30s,N2,50.0,18000.0,,TiN,,,,TiN,,none,0.0,TiN,30.0,n-type,1e+18,15.0,2.9,,41.0,,,,,,,,,1e-06,5.0,,,,,,,stable,,,,,,,,,,,
38,Kukli,2002,Thin Solid Films,10.1016/S0040-6090(02)00742-3,HfO2 HfCl4/H2O ALD; classic chloride precursor; k~16; Cl impurity risk,HfO2,,0,monoclinic,10.0,300.0,HfCl4,H2O,100,3,30,5.0,30,1e-4,,,1.0,600.0,30s,N2,50.0,18000.0,,Au,0.5,,,Si,(100),SiO2,0.5,Au,50.0,p-type,1000000000000000.0,10.0,1.5,,16.0,,,,,,,,,5e-07,7.0,,,,,,,stable,,,,,,,,,,,
39,Jeong,2017,Scientific Reports,10.1038/srep41831,LaAlO3 ALD composite; k~22; large band gap; good band offset to Si,LaAlO3,Al+La,50,amorphous,8.0,300.0,La_precursor+TMA,O3,80,2,20,5.0,20,1e-5,50,,1.0,700.0,30s,N2,50.0,21000.0,,TaN,0.5,,,Si,(100),SiO2,0.5,TaN,30.0,p-type,1000000000000000.0,8.0,1.4,,22.0,,,,,,,,,1e-08,8.5,,,,,,,stable,200000000000.0,,,1.8,2.2,0.5,,,,,
40,Spiga,2012,Thin Solid Films,10.1016/j.tsf.2012.03.030,HfO2 ALD H2O vs O3; H2O causes OH groups; O3 better interface,HfO2,,0,monoclinic,10.0,300.0,TEMAH,H2O,100,2,30,5.0,30,1e-4,,,1.1,800.0,30s,N2,50.0,24000.0,,TiN,0.5,,,Si,(100),SiO2,0.8,TiN,30.0,p-type,1000000000000000.0,10.0,1.3,,18.5,,,,,,,,,2e-07,7.5,,,,,,,stable,500000000000.0,,,,,0.8,,,,,
41,Spiga,2012,Thin Solid Films,10.1016/j.tsf.2012.03.030,HfO2 ALD O3 oxidant; better interface quality vs H2O,HfO2,,0,monoclinic,10.0,300.0,TEMAH,O3,100,2,20,5.0,20,1e-4,,,1.2,800.0,30s,N2,50.0,24000.0,,TiN,0.5,,,Si,(100),SiO2,0.5,TiN,30.0,p-type,1000000000000000.0,10.0,1.1,,20.0,,,,,,,,,8e-08,8.0,,,,,,,stable,200000000000.0,,,,,0.5,,,,,
42,Bersuker,2006,Journal of Applied Physics,10.1063/1.2165419,HfO2 ALD + FGA 400C H2/N2; Dit reduced to <5e10 cm-2eV-1,HfO2,,0,monoclinic,10.0,300.0,TEMAH,H2O,100,2,20,3.0,20,1e-5,,,1.0,600.0,60s,N2,50.0,18000.0,,TiN,0.5,,400.0,Si,(100),SiO2,0.5,TiN,30.0,p-type,1000000000000000.0,10.0,1.2,,20.0,,-0.5,,,,,,,5e-08,7.5,,,,,,,stable,45000000000.0,,,,,0.5,,420.0,,,
43,Liu,2015,Journal of Alloys and Compounds,10.1016/j.jallcom.2015.05.152,HfO2 TEMA-Hf/H2O 160C; 200cycles; k=~20,HfO2,,0,amorphous,32.7,160.0,TEMA-Hf,H2O,200,,,,,0.2,,,16.3,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Al,,p-type,1000000000000000.0,32.7,,,20.0,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,
44,Liu,2015,Journal of Alloys and Compounds,10.1016/j.jallcom.2015.05.152,HfO2 TEMA-Hf/H2O 180C; 200cycles; k=~22,HfO2,,0,amorphous,19.4,180.0,TEMA-Hf,H2O,200,,,,,0.2,,,9.7,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Al,,p-type,1000000000000000.0,19.4,,,22.0,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,
45,Liu,2015,Journal of Alloys and Compounds,10.1016/j.jallcom.2015.05.152,HfO2 TEMA-Hf/H2O 200C; 200cycles; k=~25,HfO2,,0,monoclinic+amorphous,20.6,200.0,TEMA-Hf,H2O,200,,,,,0.2,,,10.3,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Al,,p-type,1000000000000000.0,20.6,,,25.0,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,
46,Liu,2015,Journal of Alloys and Compounds,10.1016/j.jallcom.2015.05.152,HfO2 TEMA-Hf/H2O 220C; 200cycles; k=~25,HfO2,,0,monoclinic,18.1,220.0,TEMA-Hf,H2O,200,,,,,0.2,,,9.1,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Al,,p-type,1000000000000000.0,18.1,,,25.0,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,
47,Liu,2015,Journal of Alloys and Compounds,10.1016/j.jallcom.2015.05.152,HfO2 TEMA-Hf/H2O 240C; 200cycles; k=~24,HfO2,,0,monoclinic,20.8,240.0,TEMA-Hf,H2O,200,,,,,0.2,,,10.4,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Al,,p-type,1000000000000000.0,20.8,,,24.0,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,
48,Liu,2015,Journal of Alloys and Compounds,10.1016/j.jallcom.2015.05.152,HfO2 TEMA-Hf/H2O 260C; 200cycles; k=~20,HfO2,,0,monoclinic,11.4,260.0,TEMA-Hf,H2O,200,,,,,0.2,,,5.7,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Al,,p-type,1000000000000000.0,11.4,,,20.0,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,
49,RIT_MicroEng,2018,Microelectronic Engineering Conference,,Al2O3 TMA/H2O 200C; k=8.36; EBD=17-24.5 MV/cm; 32nm,Al2O3,,0,amorphous,31.8,200.0,TMA,H2O,328,,,,,,,,0.97,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Al,50.0,p-type,1000000000000000.0,31.8,,,8.36,,,,,,,,,,20.8,,,,,,,stable,,,,,,,,,,,
50,RIT_MicroEng,2018,Microelectronic Engineering Conference,,HfO2 200C 200-cycle; k=24.8; EBD=16.8-27 MV/cm; 35nm,HfO2,,0,monoclinic,34.7,200.0,TEMAH,H2O,368,,,,,,,,0.95,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Al,50.0,p-type,1000000000000000.0,34.7,,,24.8,,,,,,,,,,21.9,,,,,,,stable,,,,,,,,,,,
51,Tang,2020,Journal of Alloys and Compounds,10.1016/j.jallcom.2020.157246,Al2O3 AlCl3/H2O Ar 250C; saturation GPC=0.1 nm/cycle; laser AR,Al2O3,,0,amorphous,,250.0,AlCl3,H2O,100,0.1,6.0,0.1,2.0,,,,1.0,,,N2,,,,,,,,Si,,native SiO2,0.3,Al,50.0,p-type,1000000000000000.0,,,,9.1,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,
52,Tang,2020,Journal of Alloys and Compounds,10.1016/j.jallcom.2020.157246,HfO2 HfCl4/H2O Ar 250C; GPC=0.9 A/cycle; laser application,HfO2,,0,monoclinic,,250.0,HfCl4,H2O,100,1.6,5.0,0.1,1.0,atm,,,0.9,,,N2,,,,,,,,Si,,native SiO2,0.5,Al,50.0,p-type,1000000000000000.0,,,,16.0,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,
53,Tang,2020,Journal of Alloys and Compounds,10.1016/j.jallcom.2020.157246,HfO2 TEMAH/H2O Ar 250C; GPC=1.0 A/cycle; improved purity vs HfCl4,HfO2,,0,monoclinic,,250.0,TEMAH,H2O,100,1.6,10.0,0.1,2.0,atm,,,1.0,,,N2,,,,,,,,Si,,native SiO2,0.5,Al,50.0,p-type,1000000000000000.0,,,,18.0,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,
