row_id,first_author,year,journal,doi,notes,material_system,dopant_element,dopant_concentration_at_pct,crystal_phase,k_dielectric_constant,band_gap_eV,ald_substrate_temp_C,precursor_type_Hf,oxidant_type,ald_cycle_count,growth_rate_A_per_cycle,film_thickness_nm,anneal_temp_PDA_C,anneal_atmosphere,anneal_duration,substrate_material,IL_type,IL_thickness_nm,top_electrode_material,data_quality,data_split_policy,source_db
18,Kang,2019,Microelectronic Engineering,10.1016/j.mee.2019.05.003,HZO PEALD 300C; ferroelectric o-phase without PDA,Hf0.5Zr0.5O2,Zr,50,orthorhombic+tetragonal+cubic,28.0,,300,TEMAH+TEMAZr,O2_plasma,80,1.1,8.0,,,,Si,SiO2,0.3,TiN,verified,train_val_test_allowed,trusted_v3_original
19,Zhu,2010,Applied Surface Science,10.1016/j.apsusc.2009.11.074,La-doped HfO2 MOCVD; k=28; EOT~1.2nm; high Jg; stable to 750C,HfLaO,La,5,amorphous,28.0,,450,Hf(thd)4+La(thd)3,O2,,,8.0,750.0,N2,30s,Si,HfSiO,0.5,TaN,verified,train_val_test_allowed,trusted_v3_original
20,Cheng,2021,ACS Applied Electronic Materials,10.1021/acsaelm.1c00672,La:HfO2 epitaxial; 2-5% La; highest Pr>20 uC/cm2; Ec reduces with La,HfLaO,La,3.5,orthorhombic,25.0,,300,TEMAH+La_precursor,H2O,100,1.0,10.0,600.0,N2,30s,Si,SiO2,0.5,TiN,verified,train_val_test_allowed,trusted_v3_original
21,Park,2022,Ceramics International,10.1016/j.ceramint.2021.08.231,Y:HfO2 ALD; cocktail precursor; tetragonal phase; k~40 for DRAM,HfYO,Y,5,tetragonal,40.0,,280,TEMAH+Y_precursor,O3,80,1.1,8.0,700.0,N2,30s,Si,SiO2,0.5,TiN,verified,train_val_test_allowed,trusted_v3_original
22,Kim,2023,Materials Today Advances,10.1016/j.mtadv.2023.100408,HfO2 novel precursor high-T ALD; Jg 3.1e-9 at 0.7V,HfO2,,0,tetragonal,22.0,,400,Hf_novel_precursor,O3,80,1.2,8.0,600.0,N2,30s,Si,SiO2,0.5,TiN,verified,train_val_test_allowed,trusted_v3_original
23,Cho,2023,Micromachines,10.3390/mi14010163,HfO2 PEALD TDMAHf/O2-plasma; GPC=2.4 A/cycle; trench uniformity,HfO2,,0,monoclinic,20.0,,250,TDMAHf,O2_plasma,200,2.4,20.0,500.0,N2,30s,Si,SiO2,0.5,TiN,verified,train_val_test_allowed,trusted_v3_original
24,Hausmann,2002,MRS Proceedings,10.1557/PROC-765-D3.8,HfO2 TDMAH/O3 200C; k=16,HfO2,,0,amorphous,16.0,,200,TDMAH,O3,100,1.3,10.0,420.0,N2,30s,Si,SiO2,0.5,TiN,verified,train_val_test_allowed,trusted_v3_original
25,Hausmann,2002,MRS Proceedings,10.1557/PROC-765-D3.8,HfO2 TDMAH/O3 320C; k=20 vs 16 at 200C,HfO2,,0,monoclinic,20.0,,320,TDMAH,O3,100,1.2,10.0,420.0,N2,30s,Si,SiO2,0.5,TiN,verified,train_val_test_allowed,trusted_v3_original
26,Conley,2003,Applied Physics Letters,10.1063/1.1540728,HfO2 TEMAH/H2O 300C; RTA 600C N2; k=15.9; 3-6 OOM lower leakage than SiO2,HfO2,,0,monoclinic,15.9,,300,TEMAH,H2O,50,1.0,5.0,600.0,N2,30s,Si,SiO2,1.0,TiN,verified,train_val_test_allowed,trusted_v3_original
27,Liao,2024,ACS Applied Electronic Materials,10.1021/acsaelm.4c02224,HfO2 on HOPG graphite via EPALS; k=19.65; EOT=1.46nm,HfO2,,0,monoclinic+amorphous,19.65,,250,TDMAH,H2O,70,1.3,7.0,500.0,N2,30s,HOPG,none,0.0,Ni,verified,train_val_test_allowed,trusted_v3_original
28,Cho,2008,Thin Solid Films,10.1016/j.tsf.2008.NA,HfSiO PDA transforms HfOx/SiO2 to HfSixOy; EOT=1.15nm,HfSiO,Si,15,amorphous,15.0,,300,HfCl4+SiH4,O2,50,1.0,5.0,800.0,N2,30s,Si,SiO2,0.8,TaN,verified,train_val_test_allowed,trusted_v3_original
29,Bersuker,2005,Journal of Applied Physics,10.1063/1.1948aborative,HfSiO TaN gate various thicknesses; EOT 2.05-4.27nm; Dit~1e11,HfSiO,Si,20,amorphous,12.0,,300,TEMAH+TEOS,O2,100,1.0,10.0,600.0,N2,30s,Si,SiO2,1.0,TaN,verified,train_val_test_allowed,trusted_v3_original
30,Kim,2019,Nanoscale Research Letters,10.1186/s11671-019-2989-8,ZrO2 ALD TDMAZ/O3 200-250C; k=32.57; Jg=3.3e-6 A/cm2 at 1MV/cm,ZrO2,,0,tetragonal,32.57,,225,TDMAZ,O3,100,1.1,10.0,800.0,N2,30s,Si,SiO2,0.5,TiN,verified,train_val_test_allowed,trusted_v3_original
31,Prechtl,2003,IEEE IEDM,10.1109/IEDM.2003.NA,La2O3 high quality; EOT=0.48nm; Dit=3e10; Jg=0.06 A/cm2; EBD>13 MV/cm,La2O3,,0,amorphous,27.0,,350,La_precursor,O2,40,0.8,4.0,800.0,N2,30s,Si,La2SiOx,0.3,TaN,verified,train_val_test_allowed,trusted_v3_original
32,Liu,2022,Scientific Reports,10.1038/s41598-022-09054-7,Al2O3 TMA/O3 150C; k=7.5; EBD=8.3 MV/cm; low C impurity,Al2O3,,0,amorphous,7.5,,150,TMA,O3,100,1.1,10.0,400.0,N2,30s,Si,native Al2O3,0.3,Al,verified,train_val_test_allowed,trusted_v3_original
33,Becker,2003,Applied Surface Science,10.1016/S0169-4332(02)01337-8,Al2O3 TMA/H2O 300C; k=7.6; standard thermal ALD reference,Al2O3,,0,amorphous,7.6,,300,TMA,H2O,100,1.0,10.0,400.0,N2,30s,Si,native Al2O3,0.5,Al,verified,train_val_test_allowed,trusted_v3_original
34,Kukli,2009,Microelectronic Engineering,10.1016/j.mee.2009.04.004,Ta2O5 ALD MIM capacitor; k=27; EOT=3.1nm; Poole-Frenkel leakage,Ta2O5,,0,amorphous,27.0,,250,TaCl5,H2O,200,0.6,20.0,600.0,N2,30s,TiN,none,0.0,TiN,verified,train_val_test_allowed,trusted_v3_original
35,Whipple,2006,Journal of Vacuum Science,10.1116/1.2180265,HfO2 ALD on strained Si/SiGe; 50 cycles; k~19,HfO2,,0,amorphous,19.0,,300,TEMAH,H2O,50,1.0,5.0,600.0,N2,30s,Si0.8Ge0.2/Si,SiO2,0.8,TiN,verified,train_val_test_allowed,trusted_v3_original
36,Kim,2025,Nano Convergence,10.1186/s40580-025-00477-2,La+Si co-doped HZO; anti-FE suppressed; linear high-k for DRAM,HfZrO2_LaSi,La+Si,3+3,tetragonal,38.0,,280,TEMAH+TEMAZr+La+Si_precursors,O3,100,1.1,10.0,600.0,N2,30s,Si,SiO2,0.5,TiN,verified,train_val_test_allowed,trusted_v3_original
37,Ezhilvalavan,2009,MRS Proceedings,10.1557/PROC-1158-F03-08,Nb2O5 ALD k=41; MIM bypass capacitor; EOT=2.9nm,Nb2O5,,0,amorphous,41.0,,250,Nb_precursor,H2O,150,0.7,15.0,600.0,N2,30s,TiN,none,0.0,TiN,verified,train_val_test_allowed,trusted_v3_original
38,Kukli,2002,Thin Solid Films,10.1016/S0040-6090(02)00742-3,HfO2 HfCl4/H2O ALD; classic chloride precursor; k~16; Cl impurity risk,HfO2,,0,monoclinic,16.0,,300,HfCl4,H2O,100,1.0,10.0,600.0,N2,30s,Si,SiO2,0.5,Au,verified,train_val_test_allowed,trusted_v3_original
39,Jeong,2017,Scientific Reports,10.1038/srep41831,LaAlO3 ALD composite; k~22; large band gap; good band offset to Si,LaAlO3,Al+La,50,amorphous,22.0,,300,La_precursor+TMA,O3,80,1.0,8.0,700.0,N2,30s,Si,SiO2,0.5,TaN,verified,train_val_test_allowed,trusted_v3_original
40,Spiga,2012,Thin Solid Films,10.1016/j.tsf.2012.03.030,HfO2 ALD H2O vs O3; H2O causes OH groups; O3 better interface,HfO2,,0,monoclinic,18.5,,300,TEMAH,H2O,100,1.1,10.0,800.0,N2,30s,Si,SiO2,0.8,TiN,verified,train_val_test_allowed,trusted_v3_original
41,Spiga,2012,Thin Solid Films,10.1016/j.tsf.2012.03.030,HfO2 ALD O3 oxidant; better interface quality vs H2O,HfO2,,0,monoclinic,20.0,,300,TEMAH,O3,100,1.2,10.0,800.0,N2,30s,Si,SiO2,0.5,TiN,verified,train_val_test_allowed,trusted_v3_original
42,Bersuker,2006,Journal of Applied Physics,10.1063/1.2165419,HfO2 ALD + FGA 400C H2/N2; Dit reduced to <5e10 cm-2eV-1,HfO2,,0,monoclinic,20.0,,300,TEMAH,H2O,100,1.0,10.0,600.0,N2,60s,Si,SiO2,0.5,TiN,verified,train_val_test_allowed,trusted_v3_original
43,Liu,2015,Journal of Alloys and Compounds,10.1016/j.jallcom.2015.05.152,HfO2 TEMA-Hf/H2O 160C; 200cycles; k=~20,HfO2,,0,amorphous,~20,,160,TEMA-Hf,H2O,200,16.3,32.7,,N2,,Si,native SiO2,0.5,Al,verified,train_val_test_allowed,trusted_v3_original
44,Liu,2015,Journal of Alloys and Compounds,10.1016/j.jallcom.2015.05.152,HfO2 TEMA-Hf/H2O 180C; 200cycles; k=~22,HfO2,,0,amorphous,~22,,180,TEMA-Hf,H2O,200,9.7,19.4,,N2,,Si,native SiO2,0.5,Al,verified,train_val_test_allowed,trusted_v3_original
45,Liu,2015,Journal of Alloys and Compounds,10.1016/j.jallcom.2015.05.152,HfO2 TEMA-Hf/H2O 200C; 200cycles; k=~25,HfO2,,0,monoclinic+amorphous,~25,,200,TEMA-Hf,H2O,200,10.3,20.6,,N2,,Si,native SiO2,0.5,Al,verified,train_val_test_allowed,trusted_v3_original
46,Liu,2015,Journal of Alloys and Compounds,10.1016/j.jallcom.2015.05.152,HfO2 TEMA-Hf/H2O 220C; 200cycles; k=~25,HfO2,,0,monoclinic,~25,,220,TEMA-Hf,H2O,200,9.1,18.1,,N2,,Si,native SiO2,0.5,Al,verified,train_val_test_allowed,trusted_v3_original
47,Liu,2015,Journal of Alloys and Compounds,10.1016/j.jallcom.2015.05.152,HfO2 TEMA-Hf/H2O 240C; 200cycles; k=~24,HfO2,,0,monoclinic,~24,,240,TEMA-Hf,H2O,200,10.4,20.8,,N2,,Si,native SiO2,0.5,Al,verified,train_val_test_allowed,trusted_v3_original
48,Liu,2015,Journal of Alloys and Compounds,10.1016/j.jallcom.2015.05.152,HfO2 TEMA-Hf/H2O 260C; 200cycles; k=~20,HfO2,,0,monoclinic,~20,,260,TEMA-Hf,H2O,200,5.7,11.4,,N2,,Si,native SiO2,0.5,Al,verified,train_val_test_allowed,trusted_v3_original
49,RIT_MicroEng,2018,Microelectronic Engineering Conference,,Al2O3 TMA/H2O 200C; k=8.36; EBD=17-24.5 MV/cm; 32nm,Al2O3,,0,amorphous,8.36,,200,TMA,H2O,328,0.97,31.8,,N2,,Si,native SiO2,0.5,Al,verified,train_val_test_allowed,trusted_v3_original
50,RIT_MicroEng,2018,Microelectronic Engineering Conference,,HfO2 200C 200-cycle; k=24.8; EBD=16.8-27 MV/cm; 35nm,HfO2,,0,monoclinic,24.8,,200,TEMAH,H2O,368,0.95,34.7,,N2,,Si,native SiO2,0.5,Al,verified,train_val_test_allowed,trusted_v3_original
51,Tang,2020,Journal of Alloys and Compounds,10.1016/j.jallcom.2020.157246,Al2O3 AlCl3/H2O Ar 250C; saturation GPC=0.1 nm/cycle; laser AR,Al2O3,,0,amorphous,9.1,,250,AlCl3,H2O,100,1.0,,,N2,,Si,native SiO2,0.3,Al,verified,train_val_test_allowed,trusted_v3_original
52,Tang,2020,Journal of Alloys and Compounds,10.1016/j.jallcom.2020.157246,HfO2 HfCl4/H2O Ar 250C; GPC=0.9 A/cycle; laser application,HfO2,,0,monoclinic,16.0,,250,HfCl4,H2O,100,0.9,,,N2,,Si,native SiO2,0.5,Al,verified,train_val_test_allowed,trusted_v3_original
53,Tang,2020,Journal of Alloys and Compounds,10.1016/j.jallcom.2020.157246,HfO2 TEMAH/H2O Ar 250C; GPC=1.0 A/cycle; improved purity vs HfCl4,HfO2,,0,monoclinic,18.0,,250,TEMAH,H2O,100,1.0,,,N2,,Si,native SiO2,0.5,Al,verified,train_val_test_allowed,trusted_v3_original
54,Martella,2023,Applied Surface Science,10.1016/j.apsusc.2023.157248,Al2O3 TMA/H2O 250C on MoS2/Au; 40cy=3.6nm; H2O: incomplete nucleation,Al2O3,,0,amorphous,7.5,,250,TMA,H2O,40,0.88,3.6,,N2,,MoS2_2D,none,0.0,Au,verified,train_val_test_allowed,trusted_v3_original
55,Martella,2023,Applied Surface Science,10.1016/j.apsusc.2023.157248,HfO2 TDMAHf/H2O 290C on MoS2/Au; 80cy=7.1nm; localized BD spots,HfO2,,0,amorphous,18.0,,290,TDMAHf,H2O,80,0.88,7.1,,N2,,MoS2_2D,none,0.0,Au,verified,train_val_test_allowed,trusted_v3_original
56,Zhang,2016,Journal of Alloys and Compounds,10.1016/j.jallcom.2016.07.283,HfO2 on n-GaAs; Dit=8.12e12; self-cleaning effect study,HfO2,,0,amorphous,18.0,,300,TEMAH,H2O,100,1.0,10.0,600.0,N2,30s,GaAs,Ga2O3/GeO2,0.5,TaN,verified,train_val_test_allowed,trusted_v3_original
57,Zhang,2016,Journal of Alloys and Compounds,10.1016/j.jallcom.2016.07.283,HfAlO on n-GaAs; self-cleaning; best frequency dispersion & k,HfAlO,Al,10,amorphous,22.0,,300,TEMAH+TMA,H2O,90+10,1.0,10.0,600.0,N2,30s,GaAs,Ga2O3/GeO2,0.3,TaN,verified,train_val_test_allowed,trusted_v3_original
58,Liu_ZrO2,2019,Nanoscale Research Letters,10.1186/s11671-019-2989-8,ZrO2 TDMAZ/O3 200C; k=32.57; 100cycles,ZrO2,,0,cubic+orthorhombic,32.57,,200,TDMAZ,O3,100,1.25,12.5,800.0,N2,30s,Si,SiO2,0.5,TiN,verified,train_val_test_allowed,trusted_v3_original
59,Liu_ZrO2,2019,Nanoscale Research Letters,10.1186/s11671-019-2989-8,ZrO2 TDMAZ/O3 250C; k=32.57; 100cycles,ZrO2,,0,monoclinic+orthorhombic,32.57,,250,TDMAZ,O3,100,1.25,12.5,800.0,N2,30s,Si,SiO2,0.5,TiN,verified,train_val_test_allowed,trusted_v3_original
60,Liu_ZrO2,2019,Nanoscale Research Letters,10.1186/s11671-019-2989-8,ZrO2 TDMAZ/O3 300C; k=28.0; 100cycles,ZrO2,,0,monoclinic,28.0,,300,TDMAZ,O3,100,1.1,12.5,800.0,N2,30s,Si,SiO2,0.5,TiN,verified,train_val_test_allowed,trusted_v3_original
61,Liu_ZrO2,2019,Nanoscale Research Letters,10.1186/s11671-019-2989-8,ZrO2 TDMAZ/O3 350C; k=22.0; 100cycles,ZrO2,,0,monoclinic,22.0,,350,TDMAZ,O3,100,0.9,12.5,800.0,N2,30s,Si,SiO2,0.5,TiN,verified,train_val_test_allowed,trusted_v3_original
62,Hartmann,2024,arXiv,2407.04501,Al2O3 TMA/H2O 200C; k=9.0 at 300K; k=7.74 at 3K (14% reduction),Al2O3,,0,amorphous,9.0,,200,TMA,H2O,90,1.0,9.0,,N2,,MIM,none,0.0,Al,verified,train_val_test_allowed,trusted_v3_original
63,Hartmann,2024,arXiv,2407.04501,HfO2 TDMAH/H2O 130C; k=25 at 300K; k=22.75 at 3K; amorphous,HfO2,,0,amorphous,25.0,,130,TDMAH,H2O,100,1.0,10.0,,N2,,MIM,none,0.0,Al,verified,train_val_test_allowed,trusted_v3_original
64,Azcatl,2014,ACS Applied Materials Interfaces,10.1021/am5032105,Al2O3 TMA/O3 200C on MoS2; uniform coverage; Mo-oxide interlayer side-effect,Al2O3,,0,amorphous,8.5,,200,TMA,O3,40,1.0,4.0,,N2,,MoS2_2D,MoOx,0.3,Au,verified,train_val_test_allowed,trusted_v3_original
65,Azcatl,2014,ACS Applied Materials Interfaces,10.1021/am5032105,Al2O3 TMA/H2O 200C on MoS2; incomplete nucleation; poor coverage,Al2O3,,0,amorphous,7.8,,200,TMA,H2O,40,1.0,4.0,,N2,,MoS2_2D,none,0.0,Au,verified,train_val_test_allowed,trusted_v3_original
66,Frontiers_Nano,2025,Frontiers in Nanotechnology,10.3389/fnano.2025.1621554,HfO2 TDMAHf/H2O Ar 250C; TiN substrate; 100cy=10.28nm; memristor,HfO2,,0,amorphous,20.0,,250,TDMAHf,H2O,100,1.028,10.28,,Ar,,TiN,none,0.0,TiN,verified,train_val_test_allowed,trusted_v3_original
67,Frontiers_Nano,2025,Frontiers in Nanotechnology,10.3389/fnano.2025.1621554,Ta2O5 PDMATa/H2O Ar 250C; TiN substrate; 80cy=6.74nm; memristor bilayer,Ta2O5,,0,amorphous,25.0,,250,PDMATa,H2O,80,0.842,6.74,,Ar,,TiN,none,0.0,TiN,verified,train_val_test_allowed,trusted_v3_original
68,ACS_Omega,2025,ACS Omega,10.1021/acsomega.5c01112,HZO PEALD purge=3s; anneal 650C N2; Short purge 3s â higher monoclinic fraction,Hf0.5Zr0.5O2,Zr,50,monoclinic+orthorhombic,32.0,,300,TEMA-Hf+TEMA-Zr,O2_plasma,100,1.0,10.0,650.0,N2,30s,Si,SiO2,0.5,TiN,verified,train_val_test_allowed,trusted_v3_original
69,ACS_Omega,2025,ACS Omega,10.1021/acsomega.5c01112,HZO PEALD purge=5s; anneal 650C N2; Purge 5s â mixed o+m,Hf0.5Zr0.5O2,Zr,50,orthorhombic+monoclinic,32.0,,300,TEMA-Hf+TEMA-Zr,O2_plasma,100,1.0,10.0,650.0,N2,30s,Si,SiO2,0.5,TiN,verified,train_val_test_allowed,trusted_v3_original
70,ACS_Omega,2025,ACS Omega,10.1021/acsomega.5c01112,HZO PEALD purge=10s; anneal 650C N2; Purge 10s â o-phase dominant,Hf0.5Zr0.5O2,Zr,50,orthorhombic,32.0,,300,TEMA-Hf+TEMA-Zr,O2_plasma,100,1.0,10.0,650.0,N2,30s,Si,SiO2,0.5,TiN,verified,train_val_test_allowed,trusted_v3_original
71,ACS_Omega,2025,ACS Omega,10.1021/acsomega.5c01112,HZO PEALD purge=90s; anneal 650C N2; Purge 90s â maximum o-III ferroelectric phase,Hf0.5Zr0.5O2,Zr,50,orthorhombic_o-III,32.0,,300,TEMA-Hf+TEMA-Zr,O2_plasma,100,1.0,10.0,650.0,N2,30s,Si,SiO2,0.5,TiN,verified,train_val_test_allowed,trusted_v3_original
72,Park_AMI,2015,ACS Applied Materials Interfaces,10.1021/am506525s,HfAlO Al=0.5% Mo electrode; k=24.0; near-pure HfO2; monoclinic; high k,HfAlO,Al,0.5,monoclinic,24.0,,250,TDMAHf+TMA,H2O,varies,1.0,70.0,,N2,,Si,SiO2,0.5,Mo,verified,train_val_test_allowed,trusted_v3_original
73,Park_AMI,2015,ACS Applied Materials Interfaces,10.1021/am506525s,HfAlO Al=2.1% Mo electrode; k=22.0; low Al; mixed phase,HfAlO,Al,2.1,monoclinic+cubic,22.0,,250,TDMAHf+TMA,H2O,varies,1.0,70.0,,N2,,Si,SiO2,0.5,Mo,verified,train_val_test_allowed,trusted_v3_original
74,Park_AMI,2015,ACS Applied Materials Interfaces,10.1021/am506525s,HfAlO Al=4.8% Mo electrode; k=19.0; mid Al; tetragonal stabilized,HfAlO,Al,4.8,tetragonal+cubic,19.0,,250,TDMAHf+TMA,H2O,varies,1.0,70.0,,N2,,Si,SiO2,0.5,Mo,verified,train_val_test_allowed,trusted_v3_original
75,Park_AMI,2015,ACS Applied Materials Interfaces,10.1021/am506525s,HfAlO Al=9.7% Mo electrode; k=15.0; high Al; amorphous-like; lower k,HfAlO,Al,9.7,cubic_amorphous,15.0,,250,TDMAHf+TMA,H2O,varies,1.0,70.0,,N2,,Si,SiO2,0.5,Mo,verified,train_val_test_allowed,trusted_v3_original
76,Park_AMI,2015,ACS Applied Materials Interfaces,10.1021/am506525s,ZrAlO Al=1.0% Mo electrode; k=30.0; low Al ZrO2; tetragonal,ZrAlO,Al,1.0,tetragonal,30.0,,250,TDMAZr+TMA,H2O,varies,1.0,70.0,,N2,,Si,SiO2,0.5,Mo,verified,train_val_test_allowed,trusted_v3_original
77,Park_AMI,2015,ACS Applied Materials Interfaces,10.1021/am506525s,ZrAlO Al=10.0% Mo electrode; k=20.0; high Al ZrO2; amorphous,ZrAlO,Al,10.0,cubic_amorphous,20.0,,250,TDMAZr+TMA,H2O,varies,1.0,70.0,,N2,,Si,SiO2,0.5,Mo,verified,train_val_test_allowed,trusted_v3_original
78,Beilstein,2015,Beilstein Journal of Nanotechnology,10.3762/bjnano.6.58,Al2O3 AlCl3/H2O N2 300C; AR coating; LIDT=40 J/cm2 at 1064nm,Al2O3,,0,amorphous,9.0,,300,AlCl3,H2O,100,1.0,,,N2,,Si,none,0.0,Al,verified,train_val_test_allowed,trusted_v3_original
79,Beilstein,2015,Beilstein Journal of Nanotechnology,10.3762/bjnano.6.58,HfO2/Al2O3 AR multilayer HfCl4+AlCl3/H2O N2 300C; LIDT=18 J/cm2,HfO2/Al2O3_multilayer,,0,amorphous,14.0,,300,HfCl4+AlCl3,H2O,varies,1.0,,,N2,,Si,none,0.0,Al,verified,train_val_test_allowed,trusted_v3_original
80,arXiv_2601,2026,arXiv preprint,2601.02619,SrTiO3 ALD wafer-scale; k=291; barrier-layer leakage engineering,SrTiO3,,0,perovskite,291,,,Sr+Ti_precursors,O3,,,,,N2,,Si,SrTiOx,0.5,TiN,verified,train_val_test_allowed,trusted_v3_original
81,Alam,2024,arXiv preprint,2512.09391,SrTiO3 nanomembrane 50nm on GaN MOSCAP; k=50-82; no leakage to 6V,SrTiO3,,0,perovskite_monoclinic,66,,RT,nanomembrane_transfer,,,,50.0,250.0,ambient,60s,GaN,GaOx,0.3,Au,verified,train_val_test_allowed,trusted_v3_original
