row_id,first_author,year,journal,doi,notes,material_system,dopant_element,dopant_concentration_at_pct,crystal_phase,film_thickness_nm,ald_substrate_temp_C,precursor_type_Hf,oxidant_type,ald_cycle_count,precursor_dose_time_s,purge_time_precursor_s,oxidant_dose_time_s,purge_time_oxidant_s,chamber_base_pressure_Torr,co_precursor_dopant_flow_pct,plasma_power_W,growth_rate_A_per_cycle,anneal_temp_PDA_C,anneal_duration,anneal_atmosphere,anneal_ramp_rate_C_per_s,thermal_budget_C_s,PMA_temp_C,electrode_cap_material,IL_SiO2_thickness_nm,film_stress_GPa,FGA_temp_C,substrate_material,substrate_orientation,IL_type,IL_thickness_nm,top_electrode_material,top_electrode_thickness_nm,substrate_doping_type,substrate_doping_cm3,total_physical_thickness_nm,EOT_nm,device_area_cm2,k_dielectric_constant,capacitance_density_fF_um2,V_fb_V,V_th_V,freq_dispersion_dk_df_pct,TCk_ppm_C,loss_tangent_tan_delta,remnant_polarization_Pr_uC_cm2,coercive_field_Ec_MV_cm,J_g_A_cm2_at_1V,E_BD_MV_cm,TDDB_lifetime_years,Weibull_beta,SILC_stable,Q_BD_C_cm2,trap_gen_rate_dNT_cm2,O_vacancy_density_cm3,phase_stability,D_it_cm2_eV,Q_f_cm2,Q_m_cm2,delta_EV_eV,delta_EC_eV,IL_oxide_thickness_nm,N_at_interface_at_pct,carrier_mobility_cm2_Vs,delta_Vth_mV,measured_property,measured_value,k_curation_status,k_curation_comment
24,Hausmann,2002,MRS Proceedings,10.1557/PROC-765-D3.8,HfO2 TDMAH/O3 200C; k=16,HfO2,,0,amorphous,10.0,200,TDMAH,O3,100,2,20,3.0,20,1e-4,,,1.3,420.0,30s,N2,50.0,12600.0,,TiN,0.5,,,Si,(100),SiO2,0.5,TiN,10.0,p-type,1000000000000000.0,10.0,1.5,,16.0,,,,,,,,,1e-7,7.5,,,,,,,stable,,,,,,,,,,,,valid_k,
25,Hausmann,2002,MRS Proceedings,10.1557/PROC-765-D3.8,HfO2 TDMAH/O3 320C; k=20 vs 16 at 200C,HfO2,,0,monoclinic,10.0,320,TDMAH,O3,100,2,20,3.0,20,1e-4,,,1.2,420.0,30s,N2,50.0,12600.0,,TiN,0.5,,,Si,(100),SiO2,0.5,TiN,10.0,p-type,1000000000000000.0,10.0,1.2,,20.0,,,,,,,,,5e-8,8.0,,,,,,,stable,,,,,,,,,,,,valid_k,
26,Conley,2003,Applied Physics Letters,10.1063/1.1540728,HfO2 TEMAH/H2O 300C; RTA 600C N2; k=15.9; 3-6 OOM lower leakage than SiO2,HfO2,,0,monoclinic,5.0,300,TEMAH,H2O,50,2,20,3.0,20,1e-5,,,1.0,600.0,30s,N2,50.0,18000.0,,TiN,0.5,,,Si,(100),SiO2,1.0,TiN,30.0,p-type,1000000000000000.0,5.0,1.5,,15.9,,,,,,,,,1e-7,8.0,,,,,,,stable,,,,,,,,,,,,valid_k,
27,Liao,2024,ACS Applied Electronic Materials,10.1021/acsaelm.4c02224,HfO2 on HOPG graphite via EPALS; k=19.65; EOT=1.46nm,HfO2,,0,monoclinic+amorphous,7.0,250,TDMAH,H2O,70,2,20,5.0,20,1e-5,,,1.3,500.0,30s,N2,50.0,15000.0,,Ni,0.5,,,HOPG,,none,0.0,Ni,20.0,n-type,1e+16,7.0,1.46,,19.65,,,,,,,,,1e-7,6.5,,,,,,,stable,,,,,,,,,,,,valid_k,
28,Cho,2008,Thin Solid Films,10.1016/j.tsf.2008.NA,HfSiO PDA transforms HfOx/SiO2 to HfSixOy; EOT=1.15nm,HfSiO,Si,15,amorphous,5.0,300,HfCl4+SiH4,O2,50,,,,,1e-5,15,,1.0,800.0,30s,N2,50.0,24000.0,,TaN,0.8,,,Si,(100),SiO2,0.8,TaN,30.0,p-type,1000000000000000.0,5.0,1.15,,15.0,,,,,,,,,1e-7,7.0,,,,,,,stable,100000000000.0,,,,,0.5,,,,,,valid_k,
29,Bersuker,2005,Journal of Applied Physics,10.1063/1.1948aborative,HfSiO TaN gate various thicknesses; EOT 2.05-4.27nm; Dit~1e11,HfSiO,Si,20,amorphous,10.0,300,TEMAH+TEOS,O2,100,,,,,1e-5,20,,1.0,600.0,30s,N2,50.0,18000.0,,TaN,1.0,,,Si,(100),SiO2,1.0,TaN,30.0,p-type,1000000000000000.0,10.0,2.05,,12.0,,,,,,,,,5e-8,7.5,,,,,,,stable,100000000000.0,,,,,1.0,,,,,,valid_k,
30,Kim,2019,Nanoscale Research Letters,10.1186/s11671-019-2989-8,ZrO2 ALD TDMAZ/O3 200-250C; k=32.57; Jg=3.3e-6 A/cm2 at 1MV/cm,ZrO2,,0,tetragonal,10.0,225,TDMAZ,O3,100,2,20,5.0,20,1e-4,,,1.1,800.0,30s,N2,50.0,24000.0,,TiN,0.5,,,Si,(100),SiO2,0.5,TiN,20.0,p-type,1000000000000000.0,10.0,1.2,,32.57,,,,,,,,,3.3e-6,6.5,,,,,,,stable,2480000000000.0,,,,,0.5,,,,,,valid_k,
31,Prechtl,2003,IEEE IEDM,10.1109/IEDM.2003.NA,La2O3 high quality; EOT=0.48nm; Dit=3e10; Jg=0.06 A/cm2; EBD>13 MV/cm,La2O3,,0,amorphous,4.0,350,La_precursor,O2,40,2,30,5.0,30,1e-5,,,0.8,800.0,30s,N2,50.0,24000.0,,TaN,0.5,,,Si,(100),La2SiOx,0.3,TaN,30.0,p-type,1000000000000000.0,4.0,0.48,,27.0,,,,,,,,,0.06,>13,,,,,,,stable,30000000000.0,,,,,0.3,,,,,,valid_k,
32,Liu,2022,Scientific Reports,10.1038/s41598-022-09054-7,Al2O3 TMA/O3 150C; k=7.5; EBD=8.3 MV/cm; low C impurity,Al2O3,,0,amorphous,10.0,150,TMA,O3,100,1,15,3.0,15,1e-4,,,1.1,400.0,30s,N2,50.0,12000.0,,Al,0.5,,,Si,(100),native Al2O3,0.3,Al,50.0,p-type,1000000000000000.0,10.0,4.3,,7.5,,,,,,,,,1e-8,8.3,,,,,,,stable,,,,,,,,,,,,valid_k,
33,Becker,2003,Applied Surface Science,10.1016/S0169-4332(02)01337-8,Al2O3 TMA/H2O 300C; k=7.6; standard thermal ALD reference,Al2O3,,0,amorphous,10.0,300,TMA,H2O,100,1,20,2.0,20,1e-4,,,1.0,400.0,30s,N2,50.0,12000.0,,Al,0.5,,,Si,(100),native Al2O3,0.5,Al,50.0,p-type,1000000000000000.0,10.0,4.7,,7.6,,,,,,,,,5e-9,9.0,,,,,,,stable,,,,,,,,,,,,valid_k,
34,Kukli,2009,Microelectronic Engineering,10.1016/j.mee.2009.04.004,Ta2O5 ALD MIM capacitor; k=27; EOT=3.1nm; Poole-Frenkel leakage,Ta2O5,,0,amorphous,20.0,250,TaCl5,H2O,200,3,20,5.0,20,1e-4,,,0.6,600.0,30s,N2,50.0,18000.0,,TiN,,,,TiN,,none,0.0,TiN,30.0,n-type,1e+18,20.0,3.1,,27.0,,,,,,,,,1e-6,5.5,,,,,,,stable,,,,,,,,,,,,valid_k,
35,Whipple,2006,Journal of Vacuum Science,10.1116/1.2180265,HfO2 ALD on strained Si/SiGe; 50 cycles; k~19,HfO2,,0,amorphous,5.0,300,TEMAH,H2O,50,2,20,3.0,20,1e-5,,,1.0,600.0,30s,N2,50.0,18000.0,,TiN,0.5,,,Si0.8Ge0.2/Si,(100),SiO2,0.8,TiN,30.0,p-type,1000000000000000.0,5.0,1.8,,19.0,,,,,,,,,1e-7,7.0,,,,,,,stable,,,,,,,,,,,,valid_k,
36,Kim,2025,Nano Convergence,10.1186/s40580-025-00477-2,La+Si co-doped HZO; anti-FE suppressed; linear high-k for DRAM,HfZrO2_LaSi,La+Si,3+3,tetragonal,10.0,280,TEMAH+TEMAZr+La+Si_precursors,O3,100,,,,,,3+3,,1.1,600.0,30s,N2,50.0,18000.0,,TiN,0.5,,,Si,(100),SiO2,0.5,TiN,10.0,p-type,1000000000000000.0,10.0,0.8,,38.0,,,,,,,1.0,,1e-7,8.0,,,,,,,stable,,,,,,,,,,,,valid_k,
37,Ezhilvalavan,2009,MRS Proceedings,10.1557/PROC-1158-F03-08,Nb2O5 ALD k=41; MIM bypass capacitor; EOT=2.9nm,Nb2O5,,0,amorphous,15.0,250,Nb_precursor,H2O,150,3,20,5.0,20,1e-4,,,0.7,600.0,30s,N2,50.0,18000.0,,TiN,,,,TiN,,none,0.0,TiN,30.0,n-type,1e+18,15.0,2.9,,41.0,,,,,,,,,1e-6,5.0,,,,,,,stable,,,,,,,,,,,,valid_k,
38,Kukli,2002,Thin Solid Films,10.1016/S0040-6090(02)00742-3,HfO2 HfCl4/H2O ALD; classic chloride precursor; k~16; Cl impurity risk,HfO2,,0,monoclinic,10.0,300,HfCl4,H2O,100,3,30,5.0,30,1e-4,,,1.0,600.0,30s,N2,50.0,18000.0,,Au,0.5,,,Si,(100),SiO2,0.5,Au,50.0,p-type,1000000000000000.0,10.0,1.5,,16.0,,,,,,,,,5e-7,7.0,,,,,,,stable,,,,,,,,,,,,valid_k,
39,Jeong,2017,Scientific Reports,10.1038/srep41831,LaAlO3 ALD composite; k~22; large band gap; good band offset to Si,LaAlO3,Al+La,50,amorphous,8.0,300,La_precursor+TMA,O3,80,2,20,5.0,20,1e-5,50,,1.0,700.0,30s,N2,50.0,21000.0,,TaN,0.5,,,Si,(100),SiO2,0.5,TaN,30.0,p-type,1000000000000000.0,8.0,1.4,,22.0,,,,,,,,,1e-8,8.5,,,,,,,stable,200000000000.0,,,1.8,2.2,0.5,,,,,,valid_k,
40,Spiga,2012,Thin Solid Films,10.1016/j.tsf.2012.03.030,HfO2 ALD H2O vs O3; H2O causes OH groups; O3 better interface,HfO2,,0,monoclinic,10.0,300,TEMAH,H2O,100,2,30,5.0,30,1e-4,,,1.1,800.0,30s,N2,50.0,24000.0,,TiN,0.5,,,Si,(100),SiO2,0.8,TiN,30.0,p-type,1000000000000000.0,10.0,1.3,,18.5,,,,,,,,,2e-7,7.5,,,,,,,stable,500000000000.0,,,,,0.8,,,,,,valid_k,
41,Spiga,2012,Thin Solid Films,10.1016/j.tsf.2012.03.030,HfO2 ALD O3 oxidant; better interface quality vs H2O,HfO2,,0,monoclinic,10.0,300,TEMAH,O3,100,2,20,5.0,20,1e-4,,,1.2,800.0,30s,N2,50.0,24000.0,,TiN,0.5,,,Si,(100),SiO2,0.5,TiN,30.0,p-type,1000000000000000.0,10.0,1.1,,20.0,,,,,,,,,8e-8,8.0,,,,,,,stable,200000000000.0,,,,,0.5,,,,,,valid_k,
42,Bersuker,2006,Journal of Applied Physics,10.1063/1.2165419,HfO2 ALD + FGA 400C H2/N2; Dit reduced to <5e10 cm-2eV-1,HfO2,,0,monoclinic,10.0,300,TEMAH,H2O,100,2,20,3.0,20,1e-5,,,1.0,600.0,60s,N2,50.0,18000.0,,TiN,0.5,,400.0,Si,(100),SiO2,0.5,TiN,30.0,p-type,1000000000000000.0,10.0,1.2,,20.0,,-0.5,,,,,,,5e-8,7.5,,,,,,,stable,45000000000.0,,,,,0.5,,420.0,,,,valid_k,
43,Liu,2015,Journal of Alloys and Compounds,10.1016/j.jallcom.2015.05.152,HfO2 TEMA-Hf/H2O 160C; 200cycles; k=~20,HfO2,,0,amorphous,32.7,160,TEMA-Hf,H2O,200,,,,,0.2,,,16.3,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Al,,p-type,1000000000000000.0,32.7,,,20.0,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,,recovered_from_existing_note,Converted approximate k value already present in notes/k column to numeric float; no guessed material-average value used.
44,Liu,2015,Journal of Alloys and Compounds,10.1016/j.jallcom.2015.05.152,HfO2 TEMA-Hf/H2O 180C; 200cycles; k=~22,HfO2,,0,amorphous,19.4,180,TEMA-Hf,H2O,200,,,,,0.2,,,9.7,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Al,,p-type,1000000000000000.0,19.4,,,22.0,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,,recovered_from_existing_note,Converted approximate k value already present in notes/k column to numeric float; no guessed material-average value used.
45,Liu,2015,Journal of Alloys and Compounds,10.1016/j.jallcom.2015.05.152,HfO2 TEMA-Hf/H2O 200C; 200cycles; k=~25,HfO2,,0,monoclinic+amorphous,20.6,200,TEMA-Hf,H2O,200,,,,,0.2,,,10.3,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Al,,p-type,1000000000000000.0,20.6,,,25.0,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,,recovered_from_existing_note,Converted approximate k value already present in notes/k column to numeric float; no guessed material-average value used.
46,Liu,2015,Journal of Alloys and Compounds,10.1016/j.jallcom.2015.05.152,HfO2 TEMA-Hf/H2O 220C; 200cycles; k=~25,HfO2,,0,monoclinic,18.1,220,TEMA-Hf,H2O,200,,,,,0.2,,,9.1,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Al,,p-type,1000000000000000.0,18.1,,,25.0,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,,recovered_from_existing_note,Converted approximate k value already present in notes/k column to numeric float; no guessed material-average value used.
47,Liu,2015,Journal of Alloys and Compounds,10.1016/j.jallcom.2015.05.152,HfO2 TEMA-Hf/H2O 240C; 200cycles; k=~24,HfO2,,0,monoclinic,20.8,240,TEMA-Hf,H2O,200,,,,,0.2,,,10.4,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Al,,p-type,1000000000000000.0,20.8,,,24.0,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,,recovered_from_existing_note,Converted approximate k value already present in notes/k column to numeric float; no guessed material-average value used.
48,Liu,2015,Journal of Alloys and Compounds,10.1016/j.jallcom.2015.05.152,HfO2 TEMA-Hf/H2O 260C; 200cycles; k=~20,HfO2,,0,monoclinic,11.4,260,TEMA-Hf,H2O,200,,,,,0.2,,,5.7,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Al,,p-type,1000000000000000.0,11.4,,,20.0,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,,recovered_from_existing_note,Converted approximate k value already present in notes/k column to numeric float; no guessed material-average value used.
49,RIT_MicroEng,2018,Microelectronic Engineering Conference,,Al2O3 TMA/H2O 200C; k=8.36; EBD=17-24.5 MV/cm; 32nm,Al2O3,,0,amorphous,31.8,200,TMA,H2O,328,,,,,,,,0.97,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Al,50.0,p-type,1000000000000000.0,31.8,,,8.36,,,,,,,,,,20.8,,,,,,,stable,,,,,,,,,,,,valid_k,
50,RIT_MicroEng,2018,Microelectronic Engineering Conference,,HfO2 200C 200-cycle; k=24.8; EBD=16.8-27 MV/cm; 35nm,HfO2,,0,monoclinic,34.7,200,TEMAH,H2O,368,,,,,,,,0.95,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Al,50.0,p-type,1000000000000000.0,34.7,,,24.8,,,,,,,,,,21.9,,,,,,,stable,,,,,,,,,,,,valid_k,
51,Tang,2020,Journal of Alloys and Compounds,10.1016/j.jallcom.2020.157246,Al2O3 AlCl3/H2O Ar 250C; saturation GPC=0.1 nm/cycle; laser AR,Al2O3,,0,amorphous,,250,AlCl3,H2O,100,0.1,6.0,0.1,2.0,,,,1.0,,,N2,,,,,,,,Si,,native SiO2,0.3,Al,50.0,p-type,1000000000000000.0,,,,9.1,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,,valid_k,
